DAC Code, ADC Value, PSW
0,100000010010010100001110,1101
0,100000010010010101111010,1101
0,100000010010010111111100,1101
0,100000010010011000110101,1101
0,100000010010011000101010,1101
0,100000010010011000010000,1101
0,100000010010011000010110,1101
0,100000010010011000111010,1101
0,100000010010011001100100,1101
0,100000010010011001011101,1101
1,100000010010011110001000,1101
1,100000010010011110001100,1101
1,100000010010011101111100,1101
1,100000010010011101011111,1101
1,100000010010011101101001,1101
1,100000010010011110001100,1101
1,100000010010011101101111,1101
1,100000010010011101010001,1101
1,100000010010011101011010,1101
1,100000010010011101110010,1101
2,100000010010011111000011,1101
2,100000010010011110101101,1101
2,100000010010011111000001,1101
2,100000010010011110101001,1101
2,100000010010011110110011,1101
2,100000010010011111001010,1101
2,100000010010011111010010,1101
2,100000010010011111000110,1101
2,100000010010011110100111,1101
2,100000010010011111000010,1101
3,100000010010100010100100,1101
3,100000010010100010011011,1101
3,100000010010100010011010,1101
3,100000010010100010101010,1101
3,100000010010100010011111,1101
3,100000010010100010100101,1101
3,100000010010100010100001,1101
3,100000010010100010001010,1101
3,100000010010100010011000,1101
3,100000010010100010101110,1101
4,100000010010100001000111,1101
4,100000010010100000111100,1101
4,100000010010100000010010,1101
4,100000010010100000011000,1101
4,100000010010100000110001,1101
4,100000010010100000111111,1101
4,100000010010100001001000,1101
4,100000010010100001001000,1101
4,100000010010100001000000,1101
4,100000010010100001000000,1101
5,100000010010100101110110,1101
5,100000010010100101111000,1101
5,100000010010100101000111,1101
5,100000010010100100101100,1101
5,100000010010100100111000,1101
5,100000010010100101010110,1101
5,100000010010100101101000,1101
5,100000010010100101111111,1101
5,100000010010100110001000,1101
5,100000010010100101011011,1101
6,100000010010100101110011,1101
6,100000010010100101101011,1101
6,100000010010100101100000,1101
6,100000010010100101100001,1101
6,100000010010100101011111,1101
6,100000010010100101101010,1101
6,100000010010100101100100,1101
6,100000010010100101010011,1101
6,100000010010100101011011,1101
6,100000010010100101100000,1101
7,100000010010101000100001,1101
7,100000010010100111111110,1101
7,100000010010100111110010,1101
7,100000010010100111110110,1101
7,100000010010100111111110,1101
7,100000010010101000100100,1101
7,100000010010101000011011,1101
7,100000010010101000001000,1101
7,100000010010100111111101,1101
7,100000010010100111101111,1101
8,100000010010100101100000,1101
8,100000010010100101100000,1101
8,100000010010100101100001,1101
8,100000010010100101100011,1101
8,100000010010100101100110,1101
8,100000010010100101100100,1101
8,100000010010100101011100,1101
8,100000010010100101011101,1101
8,100000010010100101001111,1101
8,100000010010100101001001,1101
9,100000010010101011010011,1101
9,100000010010101010111110,1101
9,100000010010101010011100,1101
9,100000010010101010100001,1101
9,100000010010101010110101,1101
9,100000010010101010111011,1101
9,100000010010101010100111,1101
9,100000010010101010101010,1101
9,100000010010101010110110,1101
9,100000010010101010110011,1101
10,100000010010101100011010,1101
10,100000010010101100011001,1101
10,100000010010101100000100,1101
10,100000010010101011110101,1101
10,100000010010101011110011,1101
10,100000010010101011110000,1101
10,100000010010101100001111,1101
10,100000010010101100010100,1101
10,100000010010101011111100,1101
10,100000010010101011101111,1101
11,100000010010101111100010,1101
11,100000010010110000000101,1101
11,100000010010110000000110,1101
11,100000010010101111110001,1101
11,100000010010101111011000,1101
11,100000010010101111010101,1101
11,100000010010101111101111,1101
11,100000010010110000000000,1101
11,100000010010101111111001,1101
11,100000010010101111100100,1101
12,100000010010101110001110,1101
12,100000010010101110100000,1101
12,100000010010101110011010,1101
12,100000010010101110010011,1101
12,100000010010101110001101,1101
12,100000010010101110011001,1101
12,100000010010101110011110,1101
12,100000010010101110000010,1101
12,100000010010101101111010,1101
12,100000010010101110010001,1101
13,100000010010110011001111,1101
13,100000010010110011000111,1101
13,100000010010110010111001,1101
13,100000010010110011000000,1101
13,100000010010110011001101,1101
13,100000010010110011010110,1101
13,100000010010110011010111,1101
13,100000010010110011010011,1101
13,100000010010110011001100,1101
13,100000010010110011001001,1101
14,100000010010110011010000,1101
14,100000010010110010101010,1101
14,100000010010110010111100,1101
14,100000010010110011010111,1101
14,100000010010110011001000,1101
14,100000010010110011001010,1101
14,100000010010110010101100,1101
14,100000010010110010011101,1101
14,100000010010110010100111,1101
14,100000010010110010100000,1101
15,100000010010110110100000,1101
15,100000010010110110100010,1101
15,100000010010110110010011,1101
15,100000010010110110100000,1101
15,100000010010110110011110,1101
15,100000010010110110100101,1101
15,100000010010110110100000,1101
15,100000010010110110000100,1101
15,100000010010110110000111,1101
15,100000010010110110011000,1101
16,100000010010000111111100,1101
16,100000010010000111111100,1101
16,100000010010001000000001,1101
16,100000010010001000010100,1101
16,100000010010001000010000,1101
16,100000010010001000000001,1101
16,100000010010000111111011,1101
16,100000010010000111111011,1101
16,100000010010000111111010,1101
16,100000010010000111111101,1101
17,100000010010001101010110,1101
17,100000010010001101011011,1101
17,100000010010001101011001,1101
17,100000010010001101011010,1101
17,100000010010001101011010,1101
17,100000010010001101000000,1101
17,100000010010001100110010,1101
17,100000010010001101010000,1101
17,100000010010001101100001,1101
17,100000010010001101010111,1101
18,100000010010001101101010,1101
18,100000010010001101011110,1101
18,100000010010001101110011,1101
18,100000010010001101101011,1101
18,100000010010001101011110,1101
18,100000010010001101011111,1101
18,100000010010001101011110,1101
18,100000010010001101101111,1101
18,100000010010001101111000,1101
18,100000010010001101110001,1101
19,100000010010010001001010,1101
19,100000010010010001100111,1101
19,100000010010010001100000,1101
19,100000010010010000110100,1101
19,100000010010010000100010,1101
19,100000010010010000111101,1101
19,100000010010010001010111,1101
19,100000010010010001010100,1101
19,100000010010010001000011,1101
19,100000010010010000111111,1101
20,100000010010001110111110,1101
20,100000010010001111010011,1101
20,100000010010001111100010,1101
20,100000010010001110111100,1101
20,100000010010001110100011,1101
20,100000010010001110101100,1101
20,100000010010001110101111,1101
20,100000010010001110110001,1101
20,100000010010001110110010,1101
20,100000010010001110101111,1101
21,100000010010010011010101,1101
21,100000010010010011100010,1101
21,100000010010010010110100,1101
21,100000010010010010100001,1101
21,100000010010010011000100,1101
21,100000010010010011011010,1101
21,100000010010010011010011,1101
21,100000010010010011011111,1101
21,100000010010010011100111,1101
21,100000010010010011011010,1101
22,100000010010010011011000,1101
22,100000010010010011001100,1101
22,100000010010010010100100,1101
22,100000010010010010100000,1101
22,100000010010010010111110,1101
22,100000010010010010111010,1101
22,100000010010010010111001,1101
22,100000010010010010111101,1101
22,100000010010010010110001,1101
22,100000010010010010111010,1101
23,100000010010010100111111,1101
23,100000010010010101010010,1101
23,100000010010010101011010,1101
23,100000010010010101001000,1101
23,100000010010010100110011,1101
23,100000010010010100111101,1101
23,100000010010010101001111,1101
23,100000010010010101000101,1101
23,100000010010010101001100,1101
23,100000010010010101011110,1101
24,100000010010010001100101,1101
24,100000010010010010000011,1101
24,100000010010010010000101,1101
24,100000010010010001110010,1101
24,100000010010010001110100,1101
24,100000010010010001101101,1101
24,100000010010010001100001,1101
24,100000010010010001110001,1101
24,100000010010010010001000,1101
24,100000010010010010001100,1101
25,100000010010010110100000,1101
25,100000010010010110111111,1101
25,100000010010010110110111,1101
25,100000010010010110011000,1101
25,100000010010010110011111,1101
25,100000010010010110110101,1101
25,100000010010010110111110,1101
25,100000010010010110111110,1101
25,100000010010010110110100,1101
25,100000010010010110011110,1101
26,100000010010010110110110,1101
26,100000010010010111010010,1101
26,100000010010010111100000,1101
26,100000010010010110100110,1101
26,100000010010010110101011,1101
26,100000010010010111010110,1101
26,100000010010010111011001,1101
26,100000010010010111001101,1101
26,100000010010010110111111,1101
26,100000010010010110111010,1101
27,100000010010011001101110,1101
27,100000010010011001101111,1101
27,100000010010011001101111,1101
27,100000010010011001100110,1101
27,100000010010011001101001,1101
27,100000010010011010001000,1101
27,100000010010011001111110,1101
27,100000010010011001110011,1101
27,100000010010011001111010,1101
27,100000010010011010000010,1101
28,100000010010010111101101,1101
28,100000010010011000000000,1101
28,100000010010010111111010,1101
28,100000010010010111100100,1101
28,100000010010010111001110,1101
28,100000010010010111110011,1101
28,100000010010010111111010,1101
28,100000010010010111100010,1101
28,100000010010010111101101,1101
28,100000010010010111100000,1101
29,100000010010011011010100,1101
29,100000010010011011100001,1101
29,100000010010011011110110,1101
29,100000010010011011110001,1101
29,100000010010011011100101,1101
29,100000010010011011100010,1101
29,100000010010011011011100,1101
29,100000010010011011011001,1101
29,100000010010011011100110,1101
29,100000010010011011110110,1101
30,100000010010011011010110,1101
30,100000010010011011011001,1101
30,100000010010011011011000,1101
30,100000010010011011001111,1101
30,100000010010011011011000,1101
30,100000010010011011011010,1101
30,100000010010011011011100,1101
30,100000010010011011010001,1101
30,100000010010011011000010,1101
30,100000010010011011001111,1101
31,100000010010011100111101,1101
31,100000010010011101001000,1101
31,100000010010011100111111,1101
31,100000010010011101000110,1101
31,100000010010011101101000,1101
31,100000010010011101100111,1101
31,100000010010011101001111,1101
31,100000010010011101010101,1101
31,100000010010011101100100,1101
31,100000010010011101100101,1101
32,100000010010011000111110,1101
32,100000010010011000111001,1101
32,100000010010011001010000,1101
32,100000010010011001001101,1101
32,100000010010011001000001,1101
32,100000010010011001100000,1101
32,100000010010011001011111,1101
32,100000010010011001000011,1101
32,100000010010011001000100,1101
32,100000010010011001011101,1101
33,100000010010011110110001,1101
33,100000010010011110111100,1101
33,100000010010011110100101,1101
33,100000010010011110010001,1101
33,100000010010011110010011,1101
33,100000010010011110110101,1101
33,100000010010011110110011,1101
33,100000010010011110100101,1101
33,100000010010011110111101,1101
33,100000010010011110101010,1101
34,100000010010011111011011,1101
34,100000010010011111101000,1101
34,100000010010011111001001,1101
34,100000010010011110110011,1101
34,100000010010011111001000,1101
34,100000010010011111011001,1101
34,100000010010011111100010,1101
34,100000010010011111110010,1101
34,100000010010011111101111,1101
34,100000010010011111001101,1101
35,100000010010100011000011,1101
35,100000010010100011000001,1101
35,100000010010100011000100,1101
35,100000010010100011001010,1101
35,100000010010100011000000,1101
35,100000010010100011000100,1101
35,100000010010100011000011,1101
35,100000010010100010111100,1101
35,100000010010100011000010,1101
35,100000010010100011001111,1101
36,100000010010100001011001,1101
36,100000010010100001010101,1101
36,100000010010100001100101,1101
36,100000010010100001101111,1101
36,100000010010100001011101,1101
36,100000010010100001011001,1101
36,100000010010100001101110,1101
36,100000010010100001011101,1101
36,100000010010100001000110,1101
36,100000010010100001001100,1101
37,100000010010100101111001,1101
37,100000010010100110001000,1101
37,100000010010100101110101,1101
37,100000010010100101110110,1101
37,100000010010100110000101,1101
37,100000010010100110000010,1101
37,100000010010100101111011,1101
37,100000010010100101111010,1101
37,100000010010100110000101,1101
37,100000010010100110000011,1101
38,100000010010100110000111,1101
38,100000010010100110010000,1101
38,100000010010100101111011,1101
38,100000010010100110000100,1101
38,100000010010100110001110,1101
38,100000010010100101111100,1101
38,100000010010100101111010,1101
38,100000010010100110010101,1101
38,100000010010100110011011,1101
38,100000010010100110001000,1101
39,100000010010101000111000,1101
39,100000010010101000011110,1101
39,100000010010101000010010,1101
39,100000010010101000100010,1101
39,100000010010101000101010,1101
39,100000010010101000100000,1101
39,100000010010101000011110,1101
39,100000010010101000110001,1101
39,100000010010101000111101,1101
39,100000010010101000110000,1101
40,100000010010100110001000,1101
40,100000010010100110000001,1101
40,100000010010100101011010,1101
40,100000010010100101011111,1101
40,100000010010100101110100,1101
40,100000010010100101011100,1101
40,100000010010100101100101,1101
40,100000010010100101101110,1101
40,100000010010100101100100,1101
40,100000010010100101100011,1101
41,100000010010101011101010,1101
41,100000010010101011010100,1101
41,100000010010101010111011,1101
41,100000010010101010111011,1101
41,100000010010101010110110,1101
41,100000010010101010111101,1101
41,100000010010101010111001,1101
41,100000010010101010011100,1101
41,100000010010101010110100,1101
41,100000010010101011100011,1101
42,100000010010101100000101,1101
42,100000010010101011110000,1101
42,100000010010101100000111,1101
42,100000010010101100001001,1101
42,100000010010101100011010,1101
42,100000010010101100010101,1101
42,100000010010101011110010,1101
42,100000010010101011111110,1101
42,100000010010101100011001,1101
42,100000010010101100110001,1101
43,100000010010101111011011,1101
43,100000010010101111110100,1101
43,100000010010101111011001,1101
43,100000010010101111010011,1101
43,100000010010101111100111,1101
43,100000010010101111011111,1101
43,100000010010101111011001,1101
43,100000010010101111011011,1101
43,100000010010101111100000,1101
43,100000010010101111100010,1101
44,100000010010101110001101,1101
44,100000010010101110000111,1101
44,100000010010101101100101,1101
